date,last,open,high,low,percent_change
"2000年9月6日","8.2794","8.2794","8.2794","8.2794","0.00%"
"2000年9月5日","8.2790","8.2790","8.2790","8.2790","0.00%"
"2000年9月4日","8.2786","8.2786","8.2786","8.2786","-0.00%"
"2000年9月1日","8.2787","8.2787","8.2787","8.2787","0.00%"
"2000年8月31日","8.2786","8.2786","8.2786","8.2786","-0.00%"
"2000年8月30日","8.2788","8.2788","8.2788","8.2788","-0.01%"
"2000年8月29日","8.2799","8.2799","8.2799","8.2799","0.00%"
"2000年8月28日","8.2799","8.2799","8.2799","8.2799","0.00%"
"2000年8月25日","8.2799","8.2799","8.2799","8.2799","0.00%"
"2000年8月24日","8.2799","8.2799","8.2799","8.2799","0.01%"
"2000年8月23日","8.2793","8.2793","8.2793","8.2793","-0.01%"
"2000年8月22日","8.2799","8.2799","8.2799","8.2799","0.00%"
"2000年8月21日","8.2799","8.2799","8.2799","8.2799","0.00%"
"2000年8月18日","8.2797","8.2797","8.2797","8.2797","-0.00%"
"2000年8月17日","8.2799","8.2799","8.2799","8.2799","0.00%"
"2000年8月16日","8.2797","8.2797","8.2797","8.2797","0.01%"
"2000年8月15日","8.2788","8.2788","8.2788","8.2788","-0.01%"
"2000年8月14日","8.2795","8.2795","8.2795","8.2795","-0.00%"
"2000年8月11日","8.2796","8.2796","8.2796","8.2796","-0.00%"
"2000年8月10日","8.2799","8.2799","8.2799","8.2799","0.00%"
"2000年8月9日","8.2798","8.2798","8.2798","8.2798","-0.00%"
"2000年8月8日","8.2799","8.2799","8.2799","8.2799","0.00%"
"2000年8月7日","8.2799","8.2799","8.2799","8.2799","0.00%"
"2000年8月4日","8.2798","8.2798","8.2798","8.2798","0.00%"
"2000年8月3日","8.2796","8.2796","8.2796","8.2796","0.01%"
"2000年8月2日","8.2791","8.2791","8.2791","8.2791","0.00%"
"2000年8月1日","8.2788","8.2788","8.2788","8.2788","-0.00%"
"2000年7月31日","8.2792","8.2792","8.2792","8.2792","-0.00%"
"2000年7月28日","8.2794","8.2794","8.2794","8.2794","0.00%"
"2000年7月27日","8.2793","8.2793","8.2793","8.2793","-0.00%"
"2000年7月26日","8.2796","8.2796","8.2796","8.2796","-0.00%"
"2000年7月25日","8.2797","8.2797","8.2797","8.2797","-0.00%"
"2000年7月24日","8.2798","8.2798","8.2798","8.2798","0.00%"
"2000年7月21日","8.2795","8.2795","8.2795","8.2795","-0.00%"
